 ---  Reference Node Output Record  ---

Reference Node(s) (80,24,44:876527) (60,22,44:876221) (44,53,1:7480)
   Step      Node     Time       Timestep   Itr           T                      SG                    XLA                    RHOL                   RHOG                    PG                     PL                    RPL                    RPG                    IMA                    IMGA                   IMLA                   IMW                   PW1CW                  1QMRA                  1QMIA                  PW2CW                  2QMRA                  2QMIA                  PW3CW                  3QMRA                  3QMIA                  PW4CW                  4QMRA                  4QMIA                  PW5CW                  5QMRA                  5QMIA         
                                               
                    [day   ]     [day   ]             [c      ]                                                            [kg/m^3 ]              [kg/m^3 ]              [mpa    ]              [mpa    ]                                                            [kg     ]              [kg     ]              [kg     ]              [kg     ]              [mpa    ]              [kg/s   ]              [kg     ]              [mpa    ]              [kg/s   ]              [kg     ]              [mpa    ]              [kg/s   ]              [kg     ]              [mpa    ]              [kg/s   ]              [kg     ]              [mpa    ]              [kg/s   ]              [kg     ]   
   0.000000E+00       0    7480   7.000000E+00       0   8.403222E+01   0.000000E+00   0.000000E+00   9.808511E+02   6.819028E+02   2.668288E+01   2.668288E+01   9.950000E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   3.245248E+13   2.525638E+01   0.000000E+00   0.000000E+00   2.503311E+01   0.000000E+00   0.000000E+00   2.556498E+01   0.000000E+00   0.000000E+00   2.567033E+01   0.000000E+00   0.000000E+00   2.497604E+01   0.000000E+00   0.000000E+00  
   0.000000E+00       0  876221   7.000000E+00       0   8.103277E+01   0.000000E+00   0.000000E+00   9.822857E+02   6.848769E+02   2.570664E+01   2.570664E+01   9.950000E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   3.245248E+13   2.525638E+01   0.000000E+00   0.000000E+00   2.503311E+01   0.000000E+00   0.000000E+00   2.556498E+01   0.000000E+00   0.000000E+00   2.567033E+01   0.000000E+00   0.000000E+00   2.497604E+01   0.000000E+00   0.000000E+00  
   0.000000E+00       0  876527   7.000000E+00       0   8.182500E+01   0.000000E+00   0.000000E+00   9.819103E+02   6.840038E+02   2.596458E+01   2.596458E+01   9.950000E-01   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   3.245248E+13   2.525638E+01   0.000000E+00   0.000000E+00   2.503311E+01   0.000000E+00   0.000000E+00   2.556498E+01   0.000000E+00   0.000000E+00   2.567033E+01   0.000000E+00   0.000000E+00   2.497604E+01   0.000000E+00   0.000000E+00  
   7.000000E+00      22    7480   7.000000E+00       5   8.403222E+01   0.000000E+00   0.000000E+00   9.808505E+02   6.818849E+02   2.668143E+01   2.668143E+01   9.950000E-01   0.000000E+00   9.774130E+07   5.040791E+07   4.733338E+07   3.244777E+13   2.591587E+01   6.337618E+01   3.832992E+07   2.616980E+01   5.386975E+01   3.258043E+07   2.616593E+01   4.436332E+01   2.683094E+07   2.540070E+01  -1.536282E+01  -9.291403E+06   2.458947E+01  -1.537448E+01  -9.298420E+06  
   7.000000E+00      22  876221   7.000000E+00       5   8.103277E+01   0.000000E+00   0.000000E+00   9.822842E+02   6.848350E+02   2.570313E+01   2.570313E+01   9.950000E-01   0.000000E+00   9.774130E+07   5.040791E+07   4.733338E+07   3.244777E+13   2.591587E+01   6.337618E+01   3.832992E+07   2.616980E+01   5.386975E+01   3.258043E+07   2.616593E+01   4.436332E+01   2.683094E+07   2.540070E+01  -1.536282E+01  -9.291403E+06   2.458947E+01  -1.537448E+01  -9.298420E+06  
   7.000000E+00      22  876527   7.000000E+00       5   8.182500E+01   0.000000E+00   0.000000E+00   9.819079E+02   6.839370E+02   2.595902E+01   2.595902E+01   9.950000E-01   0.000000E+00   9.774130E+07   5.040791E+07   4.733338E+07   3.244777E+13   2.591587E+01   6.337618E+01   3.832992E+07   2.616980E+01   5.386975E+01   3.258043E+07   2.616593E+01   4.436332E+01   2.683094E+07   2.540070E+01  -1.536282E+01  -9.291403E+06   2.458947E+01  -1.537448E+01  -9.298420E+06  
   1.400000E+01      25    7480   7.000000E+00       5   8.403222E+01   0.000000E+00   0.000000E+00   9.808504E+02   6.818819E+02   2.668119E+01   2.668119E+01   9.950000E-01   0.000000E+00   1.954824E+08   1.181807E+08   7.730173E+07   3.244646E+13   2.599784E+01   6.337618E+01   7.665978E+07   2.619843E+01   5.386975E+01   6.516081E+07   2.622611E+01   4.436332E+01   5.366184E+07   2.539369E+01  -1.536278E+01  -1.858281E+07   2.457153E+01  -1.537460E+01  -1.859694E+07  
   1.400000E+01      25  876221   7.000000E+00       5   8.103277E+01   0.000000E+00   0.000000E+00   9.822822E+02   6.847799E+02   2.569850E+01   2.569850E+01   9.950000E-01   0.000000E+00   1.954824E+08   1.181807E+08   7.730173E+07   3.244646E+13   2.599784E+01   6.337618E+01   7.665978E+07   2.619843E+01   5.386975E+01   6.516081E+07   2.622611E+01   4.436332E+01   5.366184E+07   2.539369E+01  -1.536278E+01  -1.858281E+07   2.457153E+01  -1.537460E+01  -1.859694E+07  
